Item,Qty,Function,Candidate_Part_or_Module,Package_or_Module,Manufacturer,MPN,Estimated_Unit_Cost_USD,Source_URL,Planning_Status,Notes
MCU module,1,Main controller with Wi-Fi and native USB,ESP32-C3-MINI-1-H4X,"SMD module, 13.2 x 16.6 mm",Espressif Systems,ESP32-C3-MINI-1-H4X,TBD - recheck before order,https://www.lcsc.com/product-detail/C41349510.html,SELECTED_FOR_SCHEMATIC,"Recommended module variant; preserve antenna keepout; 4 MB flash"
Ambient sensor,1,Temperature and humidity sensing,SHT40-AD1B-R2,"DFN-4, 1.5 x 1.5 mm",Sensirion,SHT40-AD1B-R2,TBD - recheck before order,https://jlcpcb.com/partdetail/Sensirion-SHT40_AD1BR2/C2909890,SELECTED_FOR_SCHEMATIC,"I2C 0x44; open cavity; no copper under body except pin pads"
Light sensor,1,Ambient light measurement,VEML7700-TR,"4-pin SMD, 6.8 x 2.35 mm",Vishay,VEML7700-TR,TBD - recheck before order,https://www.lcsc.com/product-detail/C504893.html,SELECTED_FOR_SCHEMATIC,"I2C 0x10; enclosure needs an optical aperture and LED spill control"
Moisture probe,4,Per-pot capacitive moisture measurement,SEN0193,"Probe module, PH2.0-3P",DFRobot,SEN0193,TBD - recheck before order,https://www.dfrobot.com/product-1385.html,SELECTED_FOR_SCHEMATIC,"Power at 3.3 V; bench-characterize output and calibrate each zone"
ADC,1,Four independent moisture channels,ADS1115IDGSR,VSSOP-10,Texas Instruments,ADS1115IDGSR,TBD - recheck before order,https://www.lcsc.com/product-detail/C37593.html,SELECTED_FOR_SCHEMATIC,"I2C 0x48 with ADDR tied to GND; AIN0 through AIN3 map one-to-one to probes"
Voltage regulator,1,3.3 V regulation from USB input,TPS62162DSGR,"WSON-8-EP, 2 x 2 mm",Texas Instruments,TPS62162DSGR,TBD - recheck before order,https://www.lcsc.com/product-detail/C40256.html,SELECTED_FOR_SCHEMATIC,"Fixed 3.3 V / 1 A buck; implement manufacturer layout and external LC network"
USB data ESD,1,Protect native USB D+ and D-,USBLC6-2SC6,SOT-23-6,STMicroelectronics,USBLC6-2SC6,TBD - recheck before order,https://www.lcsc.com/product-detail/C7519.html,SELECTED_FOR_SCHEMATIC,"Use exact ST manufacturer record; place beside receptacle"
USB VBUS TVS,1,Clamp USB input ESD and transients,ESD5Z5.0T1G,SOD-523,onsemi,ESD5Z5.0T1G,TBD - recheck before order,https://www.lcsc.com/product-detail/C82044.html,SELECTED_FOR_SCHEMATIC,"5 V standoff; place after PPTC at connector entry"
Probe input ESD,1,Protect four external analog inputs,TPD4E05U06DQAR,"USON-10, 1 x 2.5 mm",Texas Instruments,TPD4E05U06DQAR,TBD - recheck before order,https://www.lcsc.com/product-detail/C138714.html,SELECTED_FOR_SCHEMATIC,"Four channels; low leakage; add per-channel RC footprints"
USB input fuse,1,Resettable VBUS overcurrent protection,MF-MSMF050-2,1812,Bourns,MF-MSMF050-2,TBD - recheck before order,https://www.lcsc.com/product-detail/C17313.html,SELECTED_FOR_SCHEMATIC,"0.50 A hold / 1.00 A trip at 23 C; bench-check radio burst margin"
USB-C connector,1,Power and native USB data,USB4105-GF-A,USB-C SMT top mount,Global Connector Technology,USB4105-GF-A,TBD - recheck before order,https://www.lcsc.com/product-detail/C3020560.html,SELECTED_FOR_SCHEMATIC,"USB sink; add independent 5.1 kOhm Rd resistors on CC1 and CC2"
Moisture connector,4,Keyed probe connectivity,S3B-PH-K-S(LF)(SN),"Right-angle THT, PH 2.0 mm, 3 position",JST,S3B-PH-K-S(LF)(SN),TBD - recheck before order,https://www.lcsc.com/product-detail/C157929.html,SELECTED_FOR_SCHEMATIC,"Matches SEN0193 cable family; mark VCC/GND/SIG orientation"
User controls and indicators,1,Local interaction,Pushbutton plus non-color-only LED indicators,Mixed,TBD,TBD,TBD - live sourcing required,TBD,PLANNING_ONLY,"Exact switch, LED, and resistors selected during schematic capture"
USB cable,1,Power and setup connection,USB-C data-capable cable,Cable,TBD,TBD,TBD - live sourcing required,TBD,PLANNING_ONLY,"Non-schematic procurement item; exact cable selected in issue #4"
Enclosure,1,Mechanical housing,3D-printed or off-the-shelf enclosure,Mechanical,TBD,TBD,TBD - fabrication quote required,TBD,PLANNING_ONLY,"Non-schematic procurement item; include venting, light aperture, and probe lead routing"
Fasteners/standoffs set,1,Assembly hardware,"M2/M3 screws, nuts, standoffs",Mechanical,TBD,TBD,TBD - live sourcing required,TBD,PLANNING_ONLY,"Non-schematic procurement item; select after PCB thickness and enclosure are fixed"
Debug/programming adapter,1,Firmware flashing and bring-up,Native USB plus UART fallback adapter,Tooling,TBD,TBD,TBD - live sourcing required,TBD,PLANNING_ONLY,"Native USB is primary; select external UART tool only if bring-up requires it"
