Class,Role,Qty,Manufacturer,MPN,Package_or_Interface,Supply_or_Rating,Operating_Temperature_C,Bus_Address,Preferred_Supplier,Supplier_PN,Availability_Status,Stock_Qty,Snapshot_Date,Lifecycle_Status,Datasheet_URL,Product_URL,Selection_Status,Notes
mcu,Wi-Fi/BLE controller module,1,Espressif Systems,ESP32-C3-MINI-1-H4X,"SMD module 13.2 x 16.6 x 2.4 mm; PCB antenna","3.0-3.6 V; external supply capability >=0.5 A",-40..105,,LCSC,C41349510,In stock,911,2026-09-06,Recommended in manufacturer datasheet v2.2,https://www.espressif.com/sites/default/files/documentation/esp32-c3-mini-1_datasheet_en.pdf,https://www.lcsc.com/product-detail/C41349510.html,selected,"4 MB flash; native USB D-/D+ on GPIO18/GPIO19; preserve antenna keepout"
adc,Four moisture-channel ADC,1,Texas Instruments,ADS1115IDGSR,VSSOP-10,"2.0-5.5 V; four single-ended inputs; 16 bit; 8-860 SPS",-40..125,0x48,LCSC,C37593,In stock,14470,2026-09-06,Active / Production in manufacturer datasheet addendum,https://www.ti.com/lit/ds/symlink/ads1115.pdf,https://www.lcsc.com/product-detail/C37593.html,selected,"Tie ADDR to GND; analog pins must remain between GND-0.3 V and VDD+0.3 V"
regulator,USB 5 V to 3.3 V buck regulator,1,Texas Instruments,TPS62162DSGR,WSON-8 EP 2 x 2 mm,"3-17 V input; fixed 3.3 V; up to 1 A",-40..125,,LCSC,C40256,In stock,439,2026-09-06,Active / Production in manufacturer datasheet addendum,https://www.ti.com/lit/ds/symlink/tps62160.pdf,https://www.lcsc.com/product-detail/C40256.html,selected,"Use manufacturer layout; exposed pad; 2.2 uH-class inductor and ceramic input/output network per application design"
ambient_sensor,Temperature and relative-humidity sensor,1,Sensirion,SHT40-AD1B-R2,DFN-4 1.5 x 1.5 mm,"1.08-3.6 V; 0-100 %RH",-40..125,0x44,LCSC,C2909890,In stock,20692,2026-09-06,Orderable in current manufacturer datasheet,https://sensirion.com/media/documents/33FD6951/6A7C10A0/HT_DS_Datasheet_SHT4x_V7.3.pdf,https://jlcpcb.com/partdetail/Sensirion-SHT40_AD1BR2/C2909890,selected,"Open-cavity sensor; no copper under body except pin pads; isolate from regulator and enclosure heat"
light_sensor,Device-level ambient-light sensor,1,Vishay,VEML7700-TR,4-pin SMD 6.8 x 2.35 x 3.0 mm,"2.5-3.6 V; 0-140 klx; 16 bit",-25..85,0x10,LCSC,C504893,In stock,4861,2026-09-06,Current manufacturer product page and current datasheet,https://www.vishay.com/docs/84286/veml7700.pdf,https://www.lcsc.com/product-detail/C504893.html,selected,"Fixed I2C address; optical opening must face enclosure aperture and avoid indicator-light spill"
moisture_probe,External capacitive moisture probe,4,DFRobot,SEN0193,98 x 23 mm probe module with PH2.0-3P cable,"3.3-5.5 V input; analog output documented up to 3.0 V; 5 mA",not specified,,DFRobot,SEN0193,Current manufacturer product listing; quantity not exposed,,2026-09-06,Active on DigiKey listing and current manufacturer product page,https://wiki.dfrobot.com/sen0193,https://www.dfrobot.com/product-1385.html,selected,"Power at 3.3 V; validate actual output range and wet/dry repeatability on bench; not a field-accuracy claim"
usb_connector,USB-C power/data receptacle,1,Global Connector Technology,USB4105-GF-A,"USB Type-C USB 2.0 SMT top-mount receptacle","5 A collective VBUS rating; 48 VDC connector rating",-40..85,,LCSC,C3020560,In stock,11505,2026-09-06,Current manufacturer product page and specification,https://gct.co/files/specs/usb4105-spec.pdf,https://www.lcsc.com/product-detail/C3020560.html,selected,"USB sink only; provide separate 5.1 kOhm Rd on CC1 and CC2; route D+/D- to native USB"
probe_connector,Board connector for each moisture probe,4,JST,S3B-PH-K-S(LF)(SN),Right-angle through-hole 3-position PH 2.0 mm,"2 A; 100 V AC/DC",-40..105,,LCSC,C157929,In stock,227315,2026-09-06,Listed in current manufacturer PH-series catalog,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://www.lcsc.com/product-detail/C157929.html,selected,"Matches SEN0193 PH2.0-3P cable family; document VCC/GND/SIG orientation on silk and assembly guide"
usb_esd,Native USB D+/D- ESD protection,1,STMicroelectronics,USBLC6-2SC6,SOT-23-6,"5.25 V standoff; low-capacitance two-line USB 2.0 protection",-40..125,,LCSC,C7519,In stock,36380,2026-09-06,Current manufacturer product page and datasheet,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,https://www.lcsc.com/product-detail/C7519.html,selected,"Place adjacent to USB receptacle with short return to ground; use ST part not same-MPN clones"
vbus_tvs,USB VBUS ESD and transient clamp,1,onsemi,ESD5Z5.0T1G,SOD-523,"5 V reverse standoff; 6.2 V minimum breakdown; 174 W peak pulse",-55..150,,LCSC,C82044,In stock,315966,2026-09-06,Current manufacturer product family page,https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf,https://www.lcsc.com/product-detail/C82044.html,selected,"Place after the PPTC at the USB entry with a short ground return; use exact onsemi record"
